date,close,open,high,low,volume,quote_volume,close_time,number_of_trades,taker_buy_volume,taker_buy_quote_volume
01/01/2025 14:45,94175.89000000,93976.52000000,94225.58000000,93914.46000000,142.73675000,13437505.66385510,01/01/2025 14:59,24099,74.49586000,7013170.13195110
01/01/2025 15:00,93982.33000000,94175.89000000,94265.75000000,93900.00000000,100.33066000,9440925.20019900,01/01/2025 15:14,17400,36.30797000,3417104.71782350
01/01/2025 15:15,94160.50000000,93982.33000000,94239.93000000,93914.83000000,121.16757000,11405448.32381180,01/01/2025 15:29,17836,54.54383000,5133942.76112200
01/01/2025 15:30,94247.18000000,94160.50000000,94247.78000000,94089.16000000,79.38959000,7475697.71486240,01/01/2025 15:44,13732,48.33091000,4550996.29147870
01/01/2025 15:45,94432.94000000,94247.19000000,94500.00000000,94242.98000000,185.19613000,17474469.43736510,01/01/2025 15:59,28522,95.57549000,9018145.45554010
01/01/2025 16:00,94274.63000000,94432.94000000,94492.00000000,94250.00000000,199.02193000,18786175.36737950,01/01/2025 16:14,24606,107.86619000,10181268.91569420
01/01/2025 16:15,94149.98000000,94274.62000000,94274.62000000,94096.01000000,125.94840000,11861356.49899780,01/01/2025 16:29,24627,63.01282000,5934122.44003730
01/01/2025 16:30,94017.38000000,94149.99000000,94188.77000000,94017.37000000,109.63532000,10316034.58942990,01/01/2025 16:44,20386,53.49059000,5033486.17691590
01/01/2025 16:45,94090.49000000,94017.37000000,94090.50000000,93922.00000000,145.66819000,13693085.06896890,01/01/2025 16:59,17903,62.83790000,5906298.76879100
01/01/2025 17:00,93863.12000000,94090.50000000,94131.66000000,93859.88000000,90.49792000,8504251.51316270,01/01/2025 17:14,21570,41.07226000,3859410.44697600
01/01/2025 17:15,93973.11000000,93863.12000000,93999.56000000,93760.93000000,93.30655000,8758842.61863560,01/01/2025 17:29,15885,50.73570000,4763249.33013340
01/01/2025 17:30,94027.41000000,93973.12000000,94088.84000000,93973.11000000,50.90413000,4786648.68301150,01/01/2025 17:44,10371,27.15682000,2553502.84668010
01/01/2025 17:45,94143.85000000,94027.40000000,94189.16000000,93897.75000000,69.15935000,6503312.38635130,01/01/2025 17:59,13593,32.04036000,3013434.51629830
01/01/2025 18:00,93999.51000000,94143.84000000,94155.78000000,93936.44000000,48.85342000,4594031.63130320,01/01/2025 18:14,12580,24.34100000,2288932.99044600
01/01/2025 18:15,94208.43000000,93999.52000000,94240.44000000,93999.51000000,49.20466000,4631520.13313950,01/01/2025 18:29,10165,28.10824000,2645900.56414930
01/01/2025 18:30,94278.71000000,94208.43000000,94305.73000000,94191.73000000,84.91808000,8004456.67865770,01/01/2025 18:44,15363,38.50811000,3629810.84692430
01/01/2025 18:45,94340.06000000,94278.72000000,94380.44000000,94234.24000000,108.81215000,10261839.13976910,01/01/2025 18:59,15929,70.78538000,6675890.26795650
01/01/2025 19:00,94353.01000000,94340.06000000,94398.74000000,94275.39000000,68.45880000,6457937.21818580,01/01/2025 19:14,16637,28.55939000,2694044.77169810
01/01/2025 19:15,94261.99000000,94353.02000000,94353.02000000,94168.01000000,79.23436000,7466926.75362800,01/01/2025 19:29,13594,31.06024000,2926769.42765540
01/01/2025 19:30,94447.76000000,94261.99000000,94450.81000000,94148.34000000,95.96321000,9049696.00422040,01/01/2025 19:44,16231,51.37541000,4845957.14486270
01/01/2025 19:45,94627.07000000,94447.77000000,94823.75000000,94394.31000000,301.46735000,28528327.21150100,01/01/2025 19:59,38540,158.56595000,15006291.07778430
01/01/2025 20:00,94696.79000000,94627.08000000,94793.77000000,94627.07000000,102.32169000,9691242.08700920,01/01/2025 20:14,12834,37.87359000,3587123.43116980
01/01/2025 20:15,94711.84000000,94696.79000000,94836.00000000,94579.83000000,119.07787000,11277494.04093510,01/01/2025 20:29,14711,50.79742000,4811438.59957500
01/01/2025 20:30,94724.02000000,94711.84000000,94797.17000000,94644.15000000,87.92661000,8328858.95541460,01/01/2025 20:44,17340,41.62249000,3942455.06204630
01/01/2025 20:45,94786.23000000,94724.02000000,94852.70000000,94716.43000000,115.09851000,10912511.40371770,01/01/2025 20:59,14356,61.65095000,5845245.35888360
01/01/2025 21:00,94772.73000000,94786.23000000,94917.87000000,94687.87000000,188.99610000,17919146.58278900,01/01/2025 21:14,18366,121.43786000,11514927.56991220
01/01/2025 21:15,94955.98000000,94772.72000000,95151.15000000,94766.49000000,202.23035000,19208013.17755830,01/01/2025 21:29,26408,132.98695000,12631164.12904700
01/01/2025 21:30,94788.80000000,94955.99000000,95000.00000000,94734.57000000,109.74195000,10407806.99921760,01/01/2025 21:44,20563,41.26662000,3913475.46201630
01/01/2025 21:45,94978.48000000,94789.18000000,94984.85000000,94789.18000000,135.84316000,12890271.84087930,01/01/2025 21:59,19928,67.34742000,6390510.48509470
01/01/2025 22:00,94836.01000000,94978.48000000,94997.32000000,94685.81000000,128.48004000,12181704.77678190,01/01/2025 22:14,16051,53.81486000,5102054.70849060
01/01/2025 22:15,94735.50000000,94836.01000000,94859.42000000,94720.43000000,87.78981000,8321741.58627730,01/01/2025 22:29,10518,34.19969000,3241592.92812850
01/01/2025 22:30,94955.21000000,94735.49000000,94970.34000000,94735.49000000,103.91307000,9854272.19545700,01/01/2025 22:44,10899,49.22755000,4668049.00759940
01/01/2025 22:45,94802.98000000,94955.20000000,94955.21000000,94767.77000000,89.59110000,8498634.55005280,01/01/2025 22:59,12026,49.29239000,4675638.45128570
01/01/2025 23:00,94853.31000000,94802.99000000,94952.29000000,94666.30000000,128.00262000,12135955.69781530,01/01/2025 23:14,23094,55.50466000,5263092.42437880
01/01/2025 23:15,94637.69000000,94853.31000000,94853.31000000,94600.00000000,115.51909000,10938587.95885680,01/01/2025 23:29,15829,47.79463000,4525439.44234520
01/01/2025 23:30,94732.01000000,94637.69000000,94757.29000000,94542.00000000,89.06956000,8429918.89823380,01/01/2025 23:44,15258,47.40051000,4486015.85247790
01/01/2025 23:45,94591.79000000,94732.01000000,94756.61000000,94591.21000000,104.31657000,9872484.51034300,01/01/2025 23:59,13878,49.76030000,4708739.78736930
02/01/2025 00:00,94530.31000000,94591.78000000,94627.53000000,94462.88000000,146.52120000,13850521.97275790,02/01/2025 00:14,21353,51.71983000,4889160.83755870
02/01/2025 00:15,94928.71000000,94530.30000000,95200.00000000,94392.00000000,353.05579000,33477632.52768820,02/01/2025 00:29,53271,188.89834000,17913675.25383170
02/01/2025 00:30,95105.00000000,94928.71000000,95166.67000000,94724.00000000,383.98427000,36489892.47759610,02/01/2025 00:44,59684,168.28239000,15988347.42638060
02/01/2025 00:45,95128.59000000,95105.00000000,95381.70000000,94984.66000000,298.20447000,28405134.13256480,02/01/2025 00:59,44534,171.12579000,16299279.56976260
02/01/2025 01:00,95337.00000000,95128.59000000,95516.00000000,95116.01000000,555.50647000,52954813.88654070,02/01/2025 01:14,45430,346.25785000,33008416.04345030
02/01/2025 01:15,95081.09000000,95337.00000000,95418.41000000,95020.00000000,193.60836000,18436084.11646160,02/01/2025 01:29,31562,99.82016000,9509365.13316590
02/01/2025 01:30,94996.50000000,95081.08000000,95081.09000000,94699.69000000,324.87776000,30817051.23301290,02/01/2025 01:44,31087,169.81195000,16107053.59841660
02/01/2025 01:45,94862.72000000,94996.50000000,95001.36000000,94854.05000000,69.37358000,6584571.37004530,02/01/2025 01:59,15373,36.61515000,3475204.17701500
02/01/2025 02:00,95020.53000000,94862.73000000,95124.10000000,94803.03000000,91.23554000,8664105.66996790,02/01/2025 02:14,20509,53.20195000,5053096.51565650
02/01/2025 02:15,95026.52000000,95020.53000000,95136.37000000,94840.00000000,146.22033000,13895633.99642530,02/01/2025 02:29,18680,46.57234000,4424428.77931740
02/01/2025 02:30,95027.01000000,95026.51000000,95124.00000000,94829.00000000,113.08153000,10743374.09132890,02/01/2025 02:44,18907,59.03318000,5607769.70851490
02/01/2025 02:45,95234.36000000,95027.00000000,95234.37000000,95027.00000000,105.11260000,9999044.27213100,02/01/2025 02:59,13700,62.72732000,5967081.42968010
02/01/2025 03:00,95005.10000000,95234.37000000,95299.24000000,94960.36000000,107.66381000,10241048.25139580,02/01/2025 03:14,16968,45.72324000,4348918.48531910
02/01/2025 03:15,95075.77000000,95005.10000000,95151.00000000,95005.09000000,71.16788000,6766467.17253360,02/01/2025 03:29,11296,45.93568000,4367362.98098110
02/01/2025 03:30,94922.26000000,95075.77000000,95093.83000000,94922.26000000,51.55674000,4897965.70865390,02/01/2025 03:44,9418,24.26953000,2305591.91008880
02/01/2025 03:45,95010.33000000,94922.26000000,95017.46000000,94913.75000000,59.89743000,5688387.61035060,02/01/2025 03:59,9879,25.91528000,2461049.19284650
02/01/2025 04:00,95157.15000000,95010.34000000,95273.45000000,94984.84000000,169.16337000,16093475.10754990,02/01/2025 04:14,19836,77.11719000,7336193.75758420
02/01/2025 04:15,95173.88000000,95157.15000000,95206.78000000,95045.83000000,65.08385000,6191713.69669690,02/01/2025 04:29,9340,30.87597000,2937609.29844870
02/01/2025 04:30,95812.79000000,95173.87000000,95970.00000000,95173.87000000,473.70299000,45318041.57492610,02/01/2025 04:44,48681,306.38234000,29302178.36823450
02/01/2025 04:45,95708.07000000,95812.79000000,96000.00000000,95670.69000000,217.66898000,20869084.03187390,02/01/2025 04:59,32742,114.27245000,10957650.13033360
02/01/2025 05:00,95470.01000000,95708.07000000,95729.01000000,95446.90000000,164.74489000,15736829.27374540,02/01/2025 05:14,27340,69.56453000,6644400.65353960
02/01/2025 05:15,95760.99000000,95470.01000000,95800.00000000,95395.21000000,349.41456000,33417141.04707900,02/01/2025 05:29,23942,235.49648000,22517378.41592160
02/01/2025 05:30,95772.72000000,95760.98000000,95772.73000000,95686.04000000,65.52381000,6272813.42392800,02/01/2025 05:44,10748,28.69824000,2747207.79107050
02/01/2025 05:45,95596.48000000,95772.73000000,95775.37000000,95508.11000000,122.43395000,11704741.84707670,02/01/2025 05:59,17193,33.66482000,3219099.44158000
02/01/2025 06:00,95531.25000000,95596.48000000,95697.01000000,95477.00000000,89.82692000,8585663.69179080,02/01/2025 06:14,17554,54.32951000,5192855.46845970
02/01/2025 06:15,95460.00000000,95531.25000000,95531.26000000,95380.04000000,101.70014000,9706966.07090430,02/01/2025 06:29,15168,52.63943000,5024109.91881030
02/01/2025 06:30,95530.30000000,95460.00000000,95593.92000000,95384.57000000,251.27885000,23983594.06269130,02/01/2025 06:44,15605,160.54754000,15322868.34045190
02/01/2025 06:45,95574.99000000,95530.31000000,95594.15000000,95469.07000000,74.66181000,7132225.35367890,02/01/2025 06:59,10919,31.45491000,3004491.10125520
02/01/2025 07:00,95699.98000000,95575.00000000,95749.58000000,95505.35000000,80.74038000,7721131.70147500,02/01/2025 07:14,16567,51.25503000,4901651.33454040
02/01/2025 07:15,95773.30000000,95699.98000000,95836.00000000,95657.91000000,129.52202000,12404190.81091760,02/01/2025 07:29,11431,69.96667000,6700682.57439600
02/01/2025 07:30,95840.00000000,95773.30000000,95880.00000000,95736.48000000,84.15619000,8064959.15452000,02/01/2025 07:44,10357,42.02035000,4026752.02482570
02/01/2025 07:45,95822.00000000,95839.99000000,95850.49000000,95692.46000000,158.20914000,15154432.90723040,02/01/2025 07:59,15109,86.18773000,8255610.90927470
02/01/2025 08:00,95963.58000000,95822.01000000,96050.03000000,95822.01000000,222.49715000,21343535.92718630,02/01/2025 08:14,20247,145.28026000,13937576.53977970
02/01/2025 08:15,95721.42000000,95963.58000000,95982.87000000,95650.78000000,193.20301000,18512280.13816640,02/01/2025 08:29,21668,98.57897000,9447286.69077070
02/01/2025 08:30,95944.31000000,95721.43000000,95944.32000000,95640.05000000,105.48553000,10108032.71435900,02/01/2025 08:44,17275,53.59266000,5134647.03585720
02/01/2025 08:45,96150.00000000,95944.31000000,96211.54000000,95924.24000000,323.57594000,31100149.74132530,02/01/2025 08:59,25618,151.28455000,14538088.32682220
02/01/2025 09:00,96199.96000000,96150.00000000,96241.60000000,96036.86000000,228.31899000,21951097.40920130,02/01/2025 09:14,21495,76.91735000,7395736.15893170
02/01/2025 09:15,96393.50000000,96199.95000000,96435.67000000,96199.95000000,238.16134000,22946831.91869130,02/01/2025 09:29,28443,138.01638000,13296667.91959160
02/01/2025 09:30,96350.00000000,96393.51000000,96490.47000000,96342.00000000,115.52566000,11138800.57568290,02/01/2025 09:44,20700,49.94459000,4815521.78026940
02/01/2025 09:45,96755.51000000,96350.00000000,96799.86000000,96287.87000000,394.01929000,38040496.41680530,02/01/2025 09:59,37520,203.94098000,19691641.98503920
02/01/2025 10:00,96606.14000000,96755.51000000,96808.37000000,96563.77000000,299.90431000,28995137.67542240,02/01/2025 10:14,30737,141.16232000,13647809.18232040
02/01/2025 10:15,96697.95000000,96606.14000000,96778.85000000,96603.43000000,241.47105000,23347963.43081310,02/01/2025 10:29,17236,123.46925000,11938406.30618310
02/01/2025 10:30,96610.39000000,96697.95000000,96764.02000000,96590.36000000,137.51479000,13292946.96238100,02/01/2025 10:44,18535,60.56940000,5855247.95160790
02/01/2025 10:45,96708.00000000,96610.39000000,96722.23000000,96538.77000000,147.85671000,14288388.43033430,02/01/2025 10:59,18184,68.73193000,6642607.42715450
02/01/2025 11:00,96759.98000000,96708.00000000,96876.38000000,96646.60000000,156.53796000,15147026.96924820,02/01/2025 11:14,18090,77.98917000,7547147.08690290
02/01/2025 11:15,96556.16000000,96759.99000000,96760.00000000,96469.46000000,207.77420000,20070295.23056910,02/01/2025 11:29,19485,92.74939000,8958660.00124730
02/01/2025 11:30,96691.90000000,96556.16000000,96727.27000000,96550.69000000,99.39281000,9605383.31109930,02/01/2025 11:44,14387,40.14398000,3879097.34351120
02/01/2025 11:45,96732.99000000,96691.91000000,96789.47000000,96608.35000000,69.95877000,6765207.71614440,02/01/2025 11:59,12407,32.30200000,3123724.54911810
02/01/2025 12:00,96806.26000000,96733.00000000,96863.92000000,96682.69000000,170.56502000,16504799.97503020,02/01/2025 12:14,16234,101.60455000,9831289.02596410
02/01/2025 12:15,96754.72000000,96806.27000000,96895.00000000,96609.42000000,189.46097000,18328816.20867530,02/01/2025 12:29,23309,62.13949000,6012292.87691330
02/01/2025 12:30,96672.01000000,96754.72000000,96817.25000000,96611.00000000,127.32909000,12312842.03954030,02/01/2025 12:44,18102,50.15314000,4850643.76937330
02/01/2025 12:45,96850.01000000,96672.00000000,96865.05000000,96672.00000000,189.95002000,18390430.03266850,02/01/2025 12:59,17995,85.67550000,8293859.34111130
02/01/2025 13:00,96764.52000000,96850.01000000,96988.05000000,96744.74000000,214.37184000,20761868.47811230,02/01/2025 13:14,22826,128.28862000,12425868.23115230
02/01/2025 13:15,96763.60000000,96764.52000000,96871.28000000,96630.00000000,299.77165000,28993687.34181750,02/01/2025 13:29,20395,127.01551000,12283380.84615720
02/01/2025 13:30,96668.00000000,96763.61000000,96794.97000000,96597.15000000,182.62813000,17659042.66904680,02/01/2025 13:44,27962,66.71332000,6449992.98910160
02/01/2025 13:45,96458.17000000,96668.00000000,96673.17000000,96436.00000000,206.50285000,19933510.74951560,02/01/2025 13:59,24591,65.84317000,6355207.63061680
02/01/2025 14:00,96368.06000000,96458.17000000,96458.83000000,95924.60000000,555.05322000,53414076.85151490,02/01/2025 14:14,71822,262.58083000,25269508.04530530
02/01/2025 14:15,96474.83000000,96368.06000000,96491.15000000,96144.01000000,200.49301000,19314172.87965820,02/01/2025 14:29,31441,107.87220000,10394292.08057830
02/01/2025 14:30,96812.44000000,96474.83000000,97440.91000000,96267.45000000,1284.79437000,124331658.07627810,02/01/2025 14:44,149385,674.12333000,65246488.19931220
02/01/2025 14:45,97256.49000000,96812.99000000,97360.88000000,96809.97000000,966.76396000,93910733.31885810,02/01/2025 14:59,99819,500.35670000,48607520.40825870
02/01/2025 15:00,97034.78000000,97256.48000000,97323.16000000,96960.00000000,544.44336000,52874222.11054390,02/01/2025 15:14,84503,225.37374000,21889286.58942260
02/01/2025 15:15,96666.85000000,97034.07000000,97104.00000000,96313.00000000,516.76326000,49943000.37305600,02/01/2025 15:29,97452,240.19975000,23206227.69745500
02/01/2025 15:30,96346.24000000,96666.85000000,96744.82000000,96164.78000000,573.48616000,55275528.09960930,02/01/2025 15:44,91047,252.71666000,24354096.50071960
02/01/2025 15:45,96455.01000000,96346.23000000,96639.66000000,96207.07000000,372.35422000,35918592.94531780,02/01/2025 15:59,61378,185.75169000,17922804.46253830
02/01/2025 16:00,96652.57000000,96455.01000000,96721.23000000,96040.04000000,411.77326000,39676085.06322770,02/01/2025 16:14,66206,261.48681000,25200669.08251730
02/01/2025 16:15,97387.15000000,96652.56000000,97387.15000000,96652.56000000,506.26118000,49150117.68115380,02/01/2025 16:29,90134,247.92125000,24069706.32611760
02/01/2025 16:30,97438.33000000,97387.14000000,97600.00000000,97246.88000000,475.40235000,46319824.15771360,02/01/2025 16:44,88673,248.48370000,24210220.15835880
02/01/2025 16:45,97229.74000000,97438.34000000,97650.00000000,97152.89000000,331.59311000,32292798.42088130,02/01/2025 16:59,73159,153.34575000,14937276.71094110
02/01/2025 17:00,97546.33000000,97229.75000000,97591.84000000,97101.19000000,196.87151000,19165755.49681970,02/01/2025 17:14,68941,109.28053000,10641410.94074630
02/01/2025 17:15,97084.41000000,97546.33000000,97554.34000000,97033.95000000,287.60636000,27983549.52187100,02/01/2025 17:29,59540,88.57520000,8623463.06221660
02/01/2025 17:30,96660.00000000,97084.41000000,97099.46000000,96333.95000000,520.03326000,50257719.59866880,02/01/2025 17:44,108294,233.00909000,22508004.85973750
02/01/2025 17:45,96757.57000000,96659.51000000,96757.58000000,96325.44000000,268.24662000,25898037.61872670,02/01/2025 17:59,100197,133.38906000,12877895.12419420
02/01/2025 18:00,96848.49000000,96757.57000000,97049.69000000,96400.00000000,279.72850000,27070846.54113650,02/01/2025 18:14,102972,159.68712000,15453586.18073740
02/01/2025 18:15,96903.00000000,96848.49000000,97113.44000000,96740.00000000,199.42168000,19318573.19849430,02/01/2025 18:29,74143,104.97077000,10169329.93194130
02/01/2025 18:30,97090.54000000,96902.99000000,97102.56000000,96634.61000000,167.30004000,16201049.58461150,02/01/2025 18:44,57074,86.06628000,8337045.08083190
