date,close,open,high,low
04/01/2025 05:00,98126.21000000,98001.00000000,98196.51000000,97988.76000000
04/01/2025 06:00,98127.54000000,98126.21000000,98209.70000000,98039.91000000
04/01/2025 07:00,98271.88000000,98127.53000000,98350.04000000,98095.17000000
04/01/2025 08:00,97906.07000000,98271.87000000,98306.22000000,97905.26000000
04/01/2025 09:00,97690.37000000,97906.08000000,97980.00000000,97532.58000000
04/01/2025 10:00,97789.32000000,97690.37000000,97859.60000000,97600.00000000
04/01/2025 11:00,97889.39000000,97789.32000000,97923.07000000,97711.54000000
04/01/2025 12:00,97888.12000000,97889.40000000,98016.97000000,97800.00000000
04/01/2025 13:00,97973.05000000,97888.12000000,98068.46000000,97750.00000000
04/01/2025 14:00,98035.04000000,97973.05000000,98080.15000000,97828.38000000
04/01/2025 15:00,97657.94000000,98035.05000000,98152.02000000,97514.79000000
04/01/2025 16:00,97704.60000000,97657.95000000,97874.68000000,97549.99000000
04/01/2025 17:00,98016.26000000,97704.60000000,98049.99000000,97687.77000000
04/01/2025 18:00,97961.56000000,98016.26000000,98139.13000000,97909.85000000
04/01/2025 19:00,98166.26000000,97961.56000000,98350.00000000,97931.23000000
04/01/2025 20:00,98599.02000000,98166.26000000,98671.02000000,98166.25000000
04/01/2025 21:00,98362.43000000,98599.02000000,98778.43000000,98344.00000000
04/01/2025 22:00,98417.25000000,98362.43000000,98484.85000000,98265.91000000
04/01/2025 23:00,98220.50000000,98417.25000000,98419.14000000,98143.20000000
05/01/2025 00:00,98213.43000000,98220.51000000,98391.59000000,98154.18000000
05/01/2025 01:00,98123.53000000,98213.44000000,98322.35000000,98050.00000000
05/01/2025 02:00,98227.48000000,98123.53000000,98227.49000000,98105.41000000
05/01/2025 03:00,98187.96000000,98227.49000000,98227.49000000,98069.00000000
05/01/2025 04:00,98357.46000000,98187.97000000,98522.76000000,98187.96000000
05/01/2025 05:00,98358.98000000,98357.46000000,98500.00000000,98264.78000000
05/01/2025 06:00,98451.47000000,98358.98000000,98500.00000000,98304.82000000
05/01/2025 07:00,98268.77000000,98451.48000000,98464.84000000,98268.77000000
05/01/2025 08:00,97861.04000000,98268.77000000,98268.78000000,97777.77000000
05/01/2025 09:00,97652.20000000,97861.04000000,97943.02000000,97637.93000000
05/01/2025 10:00,97737.48000000,97652.21000000,97776.68000000,97600.00000000
05/01/2025 11:00,97641.63000000,97737.48000000,97822.16000000,97615.13000000
05/01/2025 12:00,97770.01000000,97641.62000000,97956.66000000,97569.04000000
05/01/2025 13:00,97689.96000000,97770.01000000,98018.96000000,97680.18000000
05/01/2025 14:00,97855.06000000,97689.96000000,97967.08000000,97276.79000000
05/01/2025 15:00,98028.98000000,97855.06000000,98281.89000000,97702.30000000
05/01/2025 16:00,98035.17000000,98028.98000000,98332.54000000,97937.82000000
