date,close,open,high,low
10/06/2024 00:00,69559.99000000,69648.15000000,69655.11000000,69426.00000000
10/06/2024 01:00,69625.52000000,69559.99000000,69686.42000000,69516.00000000
10/06/2024 02:00,69716.00000000,69625.52000000,69801.34000000,69608.40000000
10/06/2024 03:00,69613.20000000,69716.01000000,69767.41000000,69574.80000000
10/06/2024 04:00,69674.33000000,69613.20000000,69677.50000000,69530.95000000
10/06/2024 05:00,69580.48000000,69674.33000000,69674.33000000,69530.00000000
10/06/2024 06:00,69429.87000000,69580.47000000,69618.76000000,69301.00000000
10/06/2024 07:00,69303.99000000,69429.87000000,69500.00000000,69249.99000000
10/06/2024 08:00,69387.50000000,69304.00000000,69494.99000000,69279.35000000
10/06/2024 09:00,69449.99000000,69387.50000000,69474.39000000,69172.29000000
10/06/2024 10:00,69439.99000000,69450.00000000,69470.93000000,69357.38000000
10/06/2024 11:00,69473.89000000,69439.99000000,69550.00000000,69337.02000000
10/06/2024 12:00,69363.99000000,69473.89000000,69520.01000000,69331.55000000
10/06/2024 13:00,69408.21000000,69364.00000000,69512.90000000,69201.59000000
10/06/2024 14:00,69662.09000000,69408.21000000,69662.10000000,69300.01000000
10/06/2024 15:00,70066.12000000,69662.10000000,70195.94000000,69612.26000000
10/06/2024 16:00,69972.17000000,70066.12000000,70105.82000000,69722.00000000
10/06/2024 17:00,70043.00000000,69972.18000000,70060.00000000,69761.89000000
10/06/2024 18:00,69860.01000000,70043.01000000,70141.10000000,69737.56000000
10/06/2024 19:00,69490.80000000,69860.01000000,69860.01000000,69386.81000000
10/06/2024 20:00,69632.51000000,69490.81000000,69700.51000000,69334.46000000
10/06/2024 21:00,69585.48000000,69632.51000000,69694.68000000,69530.00000000
10/06/2024 22:00,69495.99000000,69585.49000000,69592.00000000,69424.28000000
10/06/2024 23:00,69540.00000000,69495.99000000,69563.38000000,69400.01000000
11/06/2024 00:00,69410.85000000,69540.00000000,69590.01000000,69400.00000000
11/06/2024 01:00,68724.01000000,69410.86000000,69523.71000000,68500.00000000
11/06/2024 02:00,68268.62000000,68724.00000000,68922.29000000,67900.00000000
11/06/2024 03:00,68464.00000000,68268.62000000,68488.00000000,68170.00000000
11/06/2024 04:00,68024.04000000,68464.00000000,68464.00000000,67617.00000000
11/06/2024 05:00,67903.57000000,68024.03000000,68056.28000000,67657.03000000
11/06/2024 06:00,67692.00000000,67903.58000000,67974.49000000,67325.00000000
11/06/2024 07:00,67570.18000000,67691.99000000,67844.76000000,67526.95000000
11/06/2024 08:00,67516.74000000,67570.18000000,67641.03000000,67284.38000000
11/06/2024 09:00,67084.34000000,67516.75000000,67662.49000000,66900.00000000
11/06/2024 10:00,66961.99000000,67084.33000000,67303.46000000,66732.00000000
11/06/2024 11:00,66890.01000000,66961.99000000,67123.13000000,66762.58000000
11/06/2024 12:00,67019.99000000,66890.00000000,67194.31000000,66790.80000000
11/06/2024 13:00,66812.00000000,67020.00000000,67278.88000000,66568.35000000
11/06/2024 14:00,66851.26000000,66812.01000000,67103.42000000,66776.81000000
11/06/2024 15:00,66244.48000000,66851.27000000,67076.00000000,66051.00000000
11/06/2024 16:00,66487.47000000,66244.48000000,66738.78000000,66161.26000000
11/06/2024 17:00,66770.99000000,66487.48000000,66805.98000000,66175.00000000
11/06/2024 18:00,67117.30000000,66771.00000000,67229.93000000,66652.39000000
11/06/2024 19:00,67407.01000000,67117.31000000,67586.64000000,67070.51000000
11/06/2024 20:00,67290.07000000,67407.02000000,67500.00000000,67173.92000000
11/06/2024 21:00,67396.61000000,67290.07000000,67396.62000000,67202.26000000
11/06/2024 22:00,67360.22000000,67396.61000000,67572.54000000,67311.42000000
11/06/2024 23:00,67314.24000000,67360.22000000,67588.22000000,67309.91000000
12/06/2024 00:00,67199.99000000,67314.23000000,67436.53000000,67183.47000000
12/06/2024 01:00,67180.01000000,67199.99000000,67240.00000000,66905.00000000
12/06/2024 02:00,67415.25000000,67180.00000000,67596.15000000,67128.08000000
12/06/2024 03:00,67407.00000000,67415.26000000,67496.25000000,67317.77000000
12/06/2024 04:00,67481.59000000,67407.01000000,67624.89000000,67350.01000000
12/06/2024 05:00,67243.21000000,67481.60000000,67505.13000000,67195.97000000
12/06/2024 06:00,67281.64000000,67243.21000000,67382.81000000,67243.20000000
